script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t0034-root-safe-directory.sh,SKIP,SKIP,0,0,EXACT,PASS,0,0,0,eligible,INCOMPARABLE
t0035-safe-bare-repository.sh,PASS,PASS,13,13,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0040-parse-options.sh,PASS,PASS,94,94,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0041-usage.sh,PASS,FAIL,16,16,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0050-filesystem.sh,PASS,FAIL,13,13,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0051-windows-named-pipe.sh,SKIP,SKIP,0,0,EXACT,PASS,0,0,0,eligible,INCOMPARABLE
t0052-simple-ipc.sh,PASS,PASS,9,9,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0055-beyond-symlinks.sh,PASS,FAIL,3,3,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0056-git-C.sh,PASS,PASS,11,11,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0060-path-utils.sh,PASS,PASS,219,219,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0061-run-command.sh,PASS,PASS,24,24,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0062-revision-walking.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0066-dir-iterator.sh,PASS,PASS,10,10,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0067-parse_pathspec_file.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0068-for-each-repo.sh,PASS,PASS,5,5,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0070-fundamental.sh,PASS,PASS,11,11,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0071-sort.sh,PASS,PASS,1,1,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0080-unit-test-output.sh,PASS,PASS,1,1,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0081-find-pack.sh,PASS,PASS,4,4,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0090-cache-tree.sh,PASS,PASS,23,23,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0091-bugreport.sh,PASS,FAIL,13,13,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0092-diagnose.sh,PASS,PASS,4,4,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0095-bloom.sh,PASS,PASS,11,11,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0100-previous.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0101-at-syntax.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0200-gettext-basic.sh,PASS,PASS,16,16,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0201-gettext-fallbacks.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0202-gettext-perl.sh,PASS,PASS,1,1,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0203-gettext-setlocale-sanity.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0204-gettext-reencode-sanity.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0210-trace2-normal.sh,PASS,PASS,14,14,EXACT,PASS,0,0,0,eligible,COMPARABLE
