script,command,result,ok,notok,total,plan_total
t3418-rebase-continue.sh,t3418-rebase-continue.sh,FAIL,10,20,30,30
t3406-rebase-message.sh,t3406-rebase-message.sh,FAIL,22,10,32,32
t3420-rebase-autostash.sh,t3420-rebase-autostash.sh,FAIL,33,19,52,52
