repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,git,7.869588375,7.7612915000000005,0.27762598405920014,7.589458,8.410834,1.0,
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,4.8611665,4.810604,0.3056127760955964,4.379625,5.301833,1.6188683055805637,
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,0.48104175,0.480417,0.0063810066771854915,0.473708,0.491084,16.35947061767508,
lg,git,status_short,read,status --short,git,21.77380725,21.874167,0.26902491660160405,21.250625,22.078125,1.0,
lg,git,status_short,read,status --short,sley_cli,29.590520875,28.504833,4.898219597748157,24.917708,38.096917,0.7358372413239921,
lg,git,status_short,read,status --short,sley_harness,15.931276125,15.88825,0.42722214646763235,15.43575,16.650334,1.3667334041013617,
lg,git,log_oneline_100,read,log --oneline -100,git,10.097364875,9.943521,0.5827870084757597,9.458084,11.036459,1.0,
lg,git,log_oneline_100,read,log --oneline -100,sley_cli,6.486244875,6.4579795,0.2873670673006599,6.051542,6.988083,1.5567350708448238,
lg,git,log_oneline_100,read,log --oneline -100,sley_harness,1.66957325,1.6013755,0.12965450966400777,1.578541,1.912,6.04787173908063,
lg,git,branch_list,read,branch --list,git,7.345416625,7.3579585000000005,0.32572233281648155,6.81875,7.739333,1.0,
lg,git,branch_list,read,branch --list,sley_cli,4.545468625,4.4945205,0.19890737953410625,4.2115,4.8215,1.6159866519813457,
lg,git,branch_list,read,branch --list,sley_harness,0.266687625,0.2628335,0.010927937211405845,0.256708,0.284125,27.54314762449139,
lg,git,tag_list,read,tag --list,git,7.60371875,7.5555205,0.270672162423607,7.240625,7.993292,1.0,
lg,git,tag_list,read,tag --list,sley_cli,5.4653855,5.440229,0.2431935809732063,5.171041,5.889417,1.391250214646341,
lg,git,tag_list,read,tag --list,sley_harness,0.2788125,0.277125,0.006039095201861185,0.272,0.290166,27.271800044832993,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,git,6.89786475,6.870438,0.40309012556561113,6.430292,7.510208,1.0,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,4.207494625,4.239125,0.23122505279608777,3.848042,4.487208,1.6394233064528276,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.118593875,0.11699999999999999,0.00487005794736718,0.114084,0.128292,58.16375213306758,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,git,8.4626355,8.467188,0.37080211487800324,7.848708,8.919917,1.0,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,5.51377575,5.5089369999999995,0.22322221898800426,5.225291,5.86175,1.5348167723360893,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,0.9913905000000001,0.954187,0.08318929521793739,0.917834,1.154666,8.536127287885044,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,git,8.576901125000001,8.540812500000001,0.3488313998249572,8.180709,9.047083,1.0,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,7.7908075,7.57325,2.021093915819069,5.39825,11.673042,1.100900147385236,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,0.980312375,0.952125,0.06719403618080894,0.927291,1.109166,8.749151131546208,
