label,script,command,result,elapsed_ms,ok,notok,total,plan_total
full-oracle-6d144c6c-wave-1,t4039-diff-assume-unchanged.sh,t4039-diff-assume-unchanged.sh,PASS,400,4,0,4,4
full-oracle-6d144c6c-wave-1,t4047-diff-dirstat.sh,t4047-diff-dirstat.sh,PASS,2525,41,0,41,41
full-oracle-6d144c6c-wave-1,t4055-diff-context.sh,t4055-diff-context.sh,PASS,588,11,0,11,11
full-oracle-6d144c6c-wave-1,t4063-diff-blobs.sh,t4063-diff-blobs.sh,PASS,441,18,0,18,18
full-oracle-6d144c6c-wave-1,t4071-diff-minimal.sh,t4071-diff-minimal.sh,PASS,266,1,0,1,1
full-oracle-6d144c6c-wave-1,t4104-apply-boundary.sh,t4104-apply-boundary.sh,PASS,1049,24,0,24,24
full-oracle-6d144c6c-wave-1,t4112-apply-renames.sh,t4112-apply-renames.sh,PASS,346,2,0,2,2
full-oracle-6d144c6c-wave-1,t4120-apply-popt.sh,t4120-apply-popt.sh,PASS,509,12,0,12,12
full-oracle-6d144c6c-wave-1,t4128-apply-root.sh,t4128-apply-root.sh,PASS,685,12,0,12,12
full-oracle-6d144c6c-wave-1,t4136-apply-check.sh,t4136-apply-check.sh,PASS,341,6,0,6,6
full-oracle-6d144c6c-wave-1,t4153-am-resume-override-opts.sh,t4153-am-resume-override-opts.sh,PASS,881,6,0,6,6
full-oracle-6d144c6c-wave-1,t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,PASS,873,4,0,4,4
full-oracle-6d144c6c-wave-1,t4215-log-skewed-merges.sh,t4215-log-skewed-merges.sh,PASS,6833,15,0,15,15
full-oracle-6d144c6c-wave-1,t5000-tar-tree.sh,t5000-tar-tree.sh,PASS,2338,90,0,90,90
full-oracle-6d144c6c-wave-1,t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,555,6,0,6,6
full-oracle-6d144c6c-wave-1,t5309-pack-delta-cycles.sh,t5309-pack-delta-cycles.sh,PASS,681,7,0,7,7
full-oracle-6d144c6c-wave-1,t5317-pack-objects-filter-objects.sh,t5317-pack-objects-filter-objects.sh,PASS,2700,38,0,38,38
full-oracle-6d144c6c-wave-1,t5325-reverse-index.sh,t5325-reverse-index.sh,PASS,1429,16,0,16,16
full-oracle-6d144c6c-wave-1,t5333-pseudo-merge-bitmaps.sh,t5333-pseudo-merge-bitmaps.sh,PASS,8014,24,0,24,24
full-oracle-6d144c6c-wave-1,t5404-tracking-branches.sh,t5404-tracking-branches.sh,PASS,703,7,0,7,7
full-oracle-6d144c6c-wave-1,t5500-fetch-pack.sh,t5500-fetch-pack.sh,PASS,19773,378,0,378,378
full-oracle-6d144c6c-wave-1,t5509-fetch-push-namespaces.sh,t5509-fetch-push-namespaces.sh,PASS,1451,15,0,15,15
full-oracle-6d144c6c-wave-1,t5517-push-mirror.sh,t5517-push-mirror.sh,PASS,3145,13,0,13,13
full-oracle-6d144c6c-wave-1,t5525-fetch-tagopt.sh,t5525-fetch-tagopt.sh,PASS,603,5,0,5,5
full-oracle-6d144c6c-wave-1,t5533-push-cas.sh,t5533-push-cas.sh,PASS,9879,23,0,23,23
full-oracle-6d144c6c-wave-1,t5545-push-options.sh,t5545-push-options.sh,PASS,8800,13,0,13,13
full-oracle-6d144c6c-wave-1,t5571-pre-push-hook.sh,t5571-pre-push-hook.sh,PASS,3306,11,0,11,11
full-oracle-6d144c6c-wave-1,t5601-clone.sh,t5601-clone.sh,PASS,13412,115,0,115,115
full-oracle-6d144c6c-wave-1,t5610-clone-detached.sh,t5610-clone-detached.sh,PASS,626,12,1,13,13
full-oracle-6d144c6c-wave-1,t5618-alternate-refs.sh,t5618-alternate-refs.sh,PASS,461,6,0,6,6
