label,script,command,result,ok,notok,total
full-oracle-6d144c6c-wave-1,t4071-diff-minimal.sh,t4071-diff-minimal.sh,PASS,1,0,1
full-oracle-6d144c6c-wave-1,t4104-apply-boundary.sh,t4104-apply-boundary.sh,PASS,24,0,24
full-oracle-6d144c6c-wave-1,t4112-apply-renames.sh,t4112-apply-renames.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-1,t4120-apply-popt.sh,t4120-apply-popt.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-1,t4128-apply-root.sh,t4128-apply-root.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-1,t4136-apply-check.sh,t4136-apply-check.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-1,t4153-am-resume-override-opts.sh,t4153-am-resume-override-opts.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-1,t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,PASS,4,0,4
full-oracle-6d144c6c-wave-1,t4215-log-skewed-merges.sh,t4215-log-skewed-merges.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-1,t5000-tar-tree.sh,t5000-tar-tree.sh,PASS,90,0,90
full-oracle-6d144c6c-wave-1,t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-1,t5309-pack-delta-cycles.sh,t5309-pack-delta-cycles.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-1,t5317-pack-objects-filter-objects.sh,t5317-pack-objects-filter-objects.sh,PASS,38,0,38
full-oracle-6d144c6c-wave-1,t5325-reverse-index.sh,t5325-reverse-index.sh,PASS,16,0,16
full-oracle-6d144c6c-wave-1,t5333-pseudo-merge-bitmaps.sh,t5333-pseudo-merge-bitmaps.sh,PASS,24,0,24
full-oracle-6d144c6c-wave-1,t5404-tracking-branches.sh,t5404-tracking-branches.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-1,t5500-fetch-pack.sh,t5500-fetch-pack.sh,PASS,378,0,378
full-oracle-6d144c6c-wave-1,t5509-fetch-push-namespaces.sh,t5509-fetch-push-namespaces.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-1,t5517-push-mirror.sh,t5517-push-mirror.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-1,t5525-fetch-tagopt.sh,t5525-fetch-tagopt.sh,PASS,5,0,5
full-oracle-6d144c6c-wave-1,t5533-push-cas.sh,t5533-push-cas.sh,PASS,23,0,23
full-oracle-6d144c6c-wave-1,t5545-push-options.sh,t5545-push-options.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-1,t5571-pre-push-hook.sh,t5571-pre-push-hook.sh,PASS,11,0,11
full-oracle-6d144c6c-wave-1,t5601-clone.sh,t5601-clone.sh,PASS,115,0,115
full-oracle-6d144c6c-wave-1,t5610-clone-detached.sh,t5610-clone-detached.sh,PASS,12,1,13
full-oracle-6d144c6c-wave-1,t5618-alternate-refs.sh,t5618-alternate-refs.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-1,t5704-protocol-violations.sh,t5704-protocol-violations.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-1,t5810-proto-disable-local.sh,t5810-proto-disable-local.sh,PASS,54,0,54
full-oracle-6d144c6c-wave-1,t6001-rev-list-graft.sh,t6001-rev-list-graft.sh,PASS,14,0,14
full-oracle-6d144c6c-wave-1,t6009-rev-list-parent.sh,t6009-rev-list-parent.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-1,t6018-rev-list-glob.sh,t6018-rev-list-glob.sh,PASS,91,4,95
full-oracle-6d144c6c-wave-1,t6050-replace.sh,t6050-replace.sh,PASS,37,0,37
full-oracle-6d144c6c-wave-1,t6113-rev-list-bitmap-filters.sh,t6113-rev-list-bitmap-filters.sh,PASS,14,0,14
full-oracle-6d144c6c-wave-1,t6134-pathspec-in-submodule.sh,t6134-pathspec-in-submodule.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-1,t6400-merge-df.sh,t6400-merge-df.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-1,t6408-merge-up-to-date.sh,t6408-merge-up-to-date.sh,PASS,8,0,8
full-oracle-6d144c6c-wave-1,t6417-merge-ours-theirs.sh,t6417-merge-ours-theirs.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-1,t6426-merge-skip-unneeded-updates.sh,t6426-merge-skip-unneeded-updates.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-1,t6434-merge-recursive-rename-options.sh,t6434-merge-recursive-rename-options.sh,PASS,27,0,27
full-oracle-6d144c6c-wave-1,t6600-test-reach.sh,t6600-test-reach.sh,PASS,53,0,53
full-oracle-6d144c6c-wave-1,t7007-show.sh,t7007-show.sh,PASS,18,0,18
full-oracle-6d144c6c-wave-1,t7061-wtstatus-ignore.sh,t7061-wtstatus-ignore.sh,PASS,25,0,25
full-oracle-6d144c6c-wave-1,t7105-reset-patch.sh,t7105-reset-patch.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-1,t7300-clean.sh,t7300-clean.sh,PASS,53,2,55
full-oracle-6d144c6c-wave-1,t7408-submodule-reference.sh,t7408-submodule-reference.sh,PASS,16,0,16
full-oracle-6d144c6c-wave-1,t7418-submodule-sparse-gitmodules.sh,t7418-submodule-sparse-gitmodules.sh,PASS,9,0,9
full-oracle-6d144c6c-wave-1,t7426-submodule-get-default-remote.sh,t7426-submodule-get-default-remote.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-1,t7506-status-submodule.sh,t7506-status-submodule.sh,PASS,40,0,40
full-oracle-6d144c6c-wave-1,t7514-commit-patch.sh,t7514-commit-patch.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-1,t7524-commit-summary.sh,t7524-commit-summary.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-1,t7604-merge-custom-message.sh,t7604-merge-custom-message.sh,PASS,8,0,8
full-oracle-6d144c6c-wave-1,t7612-merge-verify-signatures.sh,t7612-merge-verify-signatures.sh,PASS,16,0,16
full-oracle-6d144c6c-wave-1,t7800-difftool.sh,t7800-difftool.sh,PASS,95,0,95
full-oracle-6d144c6c-wave-1,t7817-grep-sparse-checkout.sh,t7817-grep-sparse-checkout.sh,PASS,8,0,8
full-oracle-6d144c6c-wave-1,t8007-cat-file-textconv.sh,t8007-cat-file-textconv.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-1,t8015-blame-diff-algorithm.sh,t8015-blame-diff-algorithm.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-1,t9302-fast-import-unpack-limit.sh,t9302-fast-import-unpack-limit.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-1,t9901-git-web--browse.sh,t9901-git-web--browse.sh,PASS,5,0,5
full-oracle-6d144c6c-wave-2,t0001-init.sh,init,PASS,103,0,103
full-oracle-6d144c6c-wave-2,t0009-git-dir-validation.sh,t0009-git-dir-validation.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-2,t0020-crlf.sh,t0020-crlf.sh,PASS,36,0,36
full-oracle-6d144c6c-wave-2,t0028-working-tree-encoding.sh,t0028-working-tree-encoding.sh,PASS,22,0,22
full-oracle-6d144c6c-wave-2,t0041-usage.sh,t0041-usage.sh,PASS,16,0,16
full-oracle-6d144c6c-wave-2,t0062-revision-walking.sh,t0062-revision-walking.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-2,t0090-cache-tree.sh,t0090-cache-tree.sh,PASS,23,0,23
full-oracle-6d144c6c-wave-2,t0202-gettext-perl.sh,t0202-gettext-perl.sh,PASS,1,0,1
full-oracle-6d144c6c-wave-2,t0301-credential-cache.sh,t0301-credential-cache.sh,PASS,52,0,52
full-oracle-6d144c6c-wave-2,t0601-reffiles-pack-refs.sh,t0601-reffiles-pack-refs.sh,PASS,47,0,47
full-oracle-6d144c6c-wave-2,t1001-read-tree-m-2way.sh,t1001-read-tree-m-2way.sh,PASS,29,0,29
full-oracle-6d144c6c-wave-2,t1009-read-tree-new-index.sh,t1009-read-tree-new-index.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t1020-subdirectory.sh,t1020-subdirectory.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-2,t1100-commit-tree-options.sh,t1100-commit-tree-options.sh,PASS,5,0,5
full-oracle-6d144c6c-wave-2,t1307-config-blob.sh,t1307-config-blob.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-2,t1402-check-ref-format.sh,t1402-check-ref-format.sh,PASS,99,0,99
full-oracle-6d144c6c-wave-2,t1410-reflog.sh,t1410-reflog.sh,PASS,40,1,41
full-oracle-6d144c6c-wave-2,t1418-reflog-exists.sh,t1418-reflog-exists.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-2,t1451-fsck-buffer.sh,t1451-fsck-buffer.sh,PASS,72,0,72
full-oracle-6d144c6c-wave-2,t1503-rev-parse-verify.sh,t1503-rev-parse-verify.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-2,t1511-rev-parse-caret.sh,t1511-rev-parse-caret.sh,PASS,17,0,17
full-oracle-6d144c6c-wave-2,t1700-split-index.sh,t1700-split-index.sh,PASS,29,0,29
full-oracle-6d144c6c-wave-2,t2004-checkout-cache-temp.sh,t2004-checkout-cache-temp.sh,PASS,23,0,23
full-oracle-6d144c6c-wave-2,t2012-checkout-last.sh,t2012-checkout-last.sh,PASS,22,0,22
full-oracle-6d144c6c-wave-2,t2020-checkout-detach.sh,t2020-checkout-detach.sh,PASS,26,0,26
full-oracle-6d144c6c-wave-2,t2030-unresolve-info.sh,t2030-unresolve-info.sh,PASS,14,0,14
full-oracle-6d144c6c-wave-2,t2082-parallel-checkout-attributes.sh,t2082-parallel-checkout-attributes.sh,PASS,5,0,5
full-oracle-6d144c6c-wave-2,t2107-update-index-basic.sh,t2107-update-index-basic.sh,PASS,10,0,10
full-oracle-6d144c6c-wave-2,t2206-add-submodule-ignored.sh,t2206-add-submodule-ignored.sh,PASS,8,0,8
full-oracle-6d144c6c-wave-2,t2406-worktree-repair.sh,t2406-worktree-repair.sh,PASS,24,0,24
full-oracle-6d144c6c-wave-2,t3004-ls-files-basic.sh,t3004-ls-files-basic.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-2,t3012-ls-files-dedup.sh,t3012-ls-files-dedup.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t3101-ls-tree-dirname.sh,t3101-ls-tree-dirname.sh,PASS,19,0,19
full-oracle-6d144c6c-wave-2,t3203-branch-output.sh,t3203-branch-output.sh,PASS,41,0,41
full-oracle-6d144c6c-wave-2,t3302-notes-index-expensive.sh,t3302-notes-index-expensive.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-2,t3311-notes-merge-fanout.sh,t3311-notes-merge-fanout.sh,PASS,24,0,24
full-oracle-6d144c6c-wave-2,t3405-rebase-malformed.sh,t3405-rebase-malformed.sh,PASS,5,0,5
full-oracle-6d144c6c-wave-2,t3416-rebase-onto-threedots.sh,t3416-rebase-onto-threedots.sh,PASS,18,0,18
full-oracle-6d144c6c-wave-2,t3424-rebase-empty.sh,t3424-rebase-empty.sh,PASS,19,1,20
full-oracle-6d144c6c-wave-2,t3432-rebase-fast-forward.sh,t3432-rebase-fast-forward.sh,PASS,219,6,225
full-oracle-6d144c6c-wave-2,t3450-history.sh,t3450-history.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-2,t3505-cherry-pick-empty.sh,t3505-cherry-pick-empty.sh,PASS,17,0,17
full-oracle-6d144c6c-wave-2,t3513-revert-submodule.sh,t3513-revert-submodule.sh,PASS,12,2,14
full-oracle-6d144c6c-wave-2,t3702-add-edit.sh,t3702-add-edit.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t3903-stash.sh,t3903-stash.sh,PASS,143,2,145
full-oracle-6d144c6c-wave-2,t3920-crlf-messages.sh,t3920-crlf-messages.sh,PASS,18,0,18
full-oracle-6d144c6c-wave-2,t4007-rename-3.sh,t4007-rename-3.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-2,t4015-diff-whitespace.sh,t4015-diff-whitespace.sh,PASS,136,0,136
full-oracle-6d144c6c-wave-2,t4024-diff-optimize-common.sh,t4024-diff-optimize-common.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-2,t4032-diff-inter-hunk-context.sh,t4032-diff-inter-hunk-context.sh,PASS,38,0,38
full-oracle-6d144c6c-wave-2,t4040-whitespace-status.sh,t4040-whitespace-status.sh,PASS,11,0,11
