script,command,git_result,sley_result,git_ms,sley_ms,delta_ms,speedup_vs_git,git_ok,git_notok,sley_ok,sley_notok,git_total,sley_total
t5710-promisor-remote-capability.sh,t5710-promisor-remote-capability.sh,PASS,FAIL,12210,4655,-7555,2.623,24,0,2,22,24,24
t5514-fetch-multiple.sh,t5514-fetch-multiple.sh,PASS,PASS,6823,4653,-2170,1.466,25,0,25,0,25,25
t5004-archive-corner-cases.sh,t5004-archive-corner-cases.sh,PASS,PASS,5680,4635,-1045,1.225,14,0,14,0,14,14
t7111-reset-table.sh,t7111-reset-table.sh,PASS,PASS,6022,4609,-1413,1.307,42,0,42,0,42,42
t1404-update-ref-errors.sh,t1404-update-ref-errors.sh,PASS,PASS,4309,4558,249,0.945,38,0,38,0,38,38
t7503-pre-commit-and-pre-merge-commit-hooks.sh,t7503-pre-commit-and-pre-merge-commit-hooks.sh,PASS,PASS,4957,4528,-429,1.095,22,0,22,0,22,22
t6434-merge-recursive-rename-options.sh,t6434-merge-recursive-rename-options.sh,PASS,PASS,4843,4500,-343,1.076,27,0,27,0,27,27
t5303-pack-corruption-resilience.sh,t5303-pack-corruption-resilience.sh,PASS,PASS,5128,4483,-645,1.144,36,0,36,0,36,36
t7506-status-submodule.sh,t7506-status-submodule.sh,FAIL,FAIL,4111,4416,305,0.931,29,11,38,2,40,40
t7300-clean.sh,t7300-clean.sh,FAIL,PASS,3896,4400,504,0.885,52,3,53,2,55,55
t5000-tar-tree.sh,t5000-tar-tree.sh,PASS,FAIL,5056,4391,-665,1.151,90,0,87,3,90,90
t5574-fetch-output.sh,t5574-fetch-output.sh,PASS,FAIL,6428,4326,-2102,1.486,14,0,2,12,14,14
t3321-notes-stripspace.sh,t3321-notes-stripspace.sh,PASS,PASS,4623,4318,-305,1.071,27,0,27,0,27,27
t6302-for-each-ref-filter.sh,t6302-for-each-ref-filter.sh,PASS,FAIL,4376,4267,-109,1.026,62,0,57,5,62,62
t6018-rev-list-glob.sh,t6018-rev-list-glob.sh,PASS,FAIL,5858,4265,-1593,1.374,91,4,90,5,95,95
t5700-protocol-v1.sh,t5700-protocol-v1.sh,FAIL,FAIL,422,4260,3838,0.099,0,0,10,14,0,24
t5603-clone-dirname.sh,t5603-clone-dirname.sh,PASS,PASS,4553,4250,-303,1.071,47,0,47,0,47,47
t4041-diff-submodule-option.sh,t4041-diff-submodule-option.sh,PASS,PASS,4482,4241,-241,1.057,47,0,47,0,47,47
t5317-pack-objects-filter-objects.sh,t5317-pack-objects-filter-objects.sh,PASS,PASS,4922,4202,-720,1.171,38,0,38,0,38,38
t5401-update-hooks.sh,t5401-update-hooks.sh,PASS,FAIL,4490,4177,-313,1.075,13,0,11,2,13,13
t2500-untracked-overwriting.sh,t2500-untracked-overwriting.sh,PASS,FAIL,4708,4170,-538,1.129,8,2,4,6,10,10
t5511-refspec.sh,t5511-refspec.sh,PASS,PASS,5088,4144,-944,1.228,47,0,47,0,47,47
t5604-clone-reference.sh,t5604-clone-reference.sh,PASS,FAIL,6018,4120,-1898,1.461,35,0,31,4,35,35
t4067-diff-partial-clone.sh,t4067-diff-partial-clone.sh,FAIL,FAIL,5219,4112,-1107,1.269,8,1,1,8,9,9
t7005-editor.sh,t7005-editor.sh,PASS,FAIL,2280,4078,1798,0.559,12,0,10,1,12,11
t0303-credential-external.sh,t0303-credential-external.sh,PASS,PASS,4651,4064,-587,1.144,23,0,23,0,23,23
t6426-merge-skip-unneeded-updates.sh,t6426-merge-skip-unneeded-updates.sh,PASS,FAIL,6325,4062,-2263,1.557,13,0,8,5,13,13
t4151-am-abort.sh,t4151-am-abort.sh,PASS,PASS,4765,4060,-705,1.174,20,0,20,0,20,20
t3202-show-branch.sh,t3202-show-branch.sh,PASS,FAIL,4710,4049,-661,1.163,27,0,16,11,27,27
t3501-revert-cherry-pick.sh,t3501-revert-cherry-pick.sh,PASS,PASS,3681,4010,329,0.918,21,0,21,0,21,21
t8020-last-modified.sh,t8020-last-modified.sh,PASS,PASS,4502,3995,-507,1.127,28,0,28,0,28,28
t6433-merge-toplevel.sh,t6433-merge-toplevel.sh,FAIL,FAIL,3737,3967,230,0.942,7,8,9,6,15,15
t1416-ref-transaction-hooks.sh,t1416-ref-transaction-hooks.sh,PASS,PASS,4286,3953,-333,1.084,10,0,10,0,10,10
t7403-submodule-sync.sh,t7403-submodule-sync.sh,FAIL,PASS,762,3939,3177,0.193,1,17,18,0,18,18
t5620-backfill.sh,t5620-backfill.sh,FAIL,FAIL,7251,3924,-3327,1.848,24,2,4,22,26,26
t5553-set-upstream.sh,t5553-set-upstream.sh,PASS,PASS,6426,3888,-2538,1.653,21,0,21,0,21,21
t4045-diff-relative.sh,t4045-diff-relative.sh,PASS,PASS,4357,3843,-514,1.134,38,1,38,1,39,39
t6137-pathspec-wildcards-literal.sh,t6137-pathspec-wildcards-literal.sh,PASS,PASS,3650,3842,192,0.950,25,0,25,0,25,25
t5003-archive-zip.sh,t5003-archive-zip.sh,FAIL,FAIL,3861,3809,-52,1.014,80,2,81,1,82,82
t2020-checkout-detach.sh,t2020-checkout-detach.sh,PASS,PASS,3394,3795,401,0.894,26,0,26,0,26,26
t6437-submodule-merge.sh,t6437-submodule-merge.sh,FAIL,PASS,4875,3791,-1084,1.286,14,8,22,0,22,22
t3302-notes-index-expensive.sh,t3302-notes-index-expensive.sh,PASS,PASS,3762,3778,16,0.996,12,0,12,0,12,12
t0006-date.sh,t0006-date.sh,PASS,PASS,3360,3777,417,0.890,149,0,149,0,149,149
t6101-rev-parse-parents.sh,t6101-rev-parse-parents.sh,PASS,PASS,4540,3750,-790,1.211,38,0,38,0,38,38
t3705-add-sparse-checkout.sh,t3705-add-sparse-checkout.sh,PASS,FAIL,3099,3731,632,0.831,20,0,18,2,20,20
t0028-working-tree-encoding.sh,t0028-working-tree-encoding.sh,PASS,PASS,3855,3712,-143,1.039,22,0,22,0,22,22
t1430-bad-ref-name.sh,t1430-bad-ref-name.sh,PASS,PASS,3217,3711,494,0.867,40,2,40,2,42,42
t0614-reftable-fsck.sh,t0614-reftable-fsck.sh,PASS,FAIL,2403,3670,1267,0.655,7,0,6,1,7,7
t5612-clone-refspec.sh,t5612-clone-refspec.sh,PASS,PASS,4639,3670,-969,1.264,13,0,13,0,13,13
t1700-split-index.sh,t1700-split-index.sh,PASS,PASS,3453,3667,214,0.942,29,0,29,0,29,29
t2402-worktree-list.sh,t2402-worktree-list.sh,PASS,PASS,4334,3658,-676,1.185,27,0,27,0,27,27
t7507-commit-verbose.sh,t7507-commit-verbose.sh,FAIL,PASS,4207,3651,-556,1.152,10,35,45,0,45,45
t4204-patch-id.sh,t4204-patch-id.sh,PASS,PASS,3966,3645,-321,1.088,25,1,25,1,26,26
t5334-incremental-multi-pack-index.sh,t5334-incremental-multi-pack-index.sh,PASS,FAIL,4216,3638,-578,1.159,22,0,20,2,22,22
t2501-cwd-empty.sh,t2501-cwd-empty.sh,FAIL,PASS,3134,3624,490,0.865,21,3,24,0,24,24
t1011-read-tree-sparse-checkout.sh,t1011-read-tree-sparse-checkout.sh,PASS,FAIL,4439,3621,-818,1.226,23,0,19,4,23,23
t3431-rebase-fork-point.sh,t3431-rebase-fork-point.sh,PASS,FAIL,4064,3611,-453,1.125,26,0,22,4,26,26
t2407-worktree-heads.sh,t2407-worktree-heads.sh,PASS,PASS,3880,3594,-286,1.080,12,0,12,0,12,12
t0090-cache-tree.sh,t0090-cache-tree.sh,PASS,PASS,4249,3578,-671,1.188,23,0,23,0,23,23
t6424-merge-unrelated-index-changes.sh,t6424-merge-unrelated-index-changes.sh,FAIL,FAIL,5306,3573,-1733,1.485,14,5,16,3,19,19
t5332-multi-pack-reuse.sh,t5332-multi-pack-reuse.sh,PASS,FAIL,3087,3558,471,0.868,14,0,7,7,14,14
t3425-rebase-topology-merges.sh,t3425-rebase-topology-merges.sh,PASS,PASS,4279,3537,-742,1.210,13,0,13,0,13,13
t2018-checkout-branch.sh,t2018-checkout-branch.sh,PASS,PASS,3205,3528,323,0.908,25,0,25,0,25,25
t7504-commit-msg-hook.sh,t7504-commit-msg-hook.sh,PASS,PASS,4709,3468,-1241,1.358,29,1,29,1,30,30
t6017-rev-list-stdin.sh,t6017-rev-list-stdin.sh,PASS,PASS,3846,3454,-392,1.113,37,0,37,0,37,37
t0600-reffiles-backend.sh,t0600-reffiles-backend.sh,PASS,FAIL,5920,3433,-2487,1.724,33,0,19,14,33,33
t3422-rebase-incompatible-options.sh,t3422-rebase-incompatible-options.sh,PASS,PASS,2766,3411,645,0.811,52,0,52,0,52,52
t3905-stash-include-untracked.sh,t3905-stash-include-untracked.sh,PASS,PASS,5676,3394,-2282,1.672,34,0,34,0,34,34
t3412-rebase-root.sh,t3412-rebase-root.sh,PASS,PASS,3545,3356,-189,1.056,25,0,25,0,25,25
t6000-rev-list-misc.sh,t6000-rev-list-misc.sh,PASS,FAIL,4068,3352,-716,1.214,24,0,13,11,24,24
t6132-pathspec-exclude.sh,t6132-pathspec-exclude.sh,PASS,PASS,3402,3351,-51,1.015,31,0,31,0,31,31
t3308-notes-merge.sh,t3308-notes-merge.sh,PASS,PASS,3931,3346,-585,1.175,19,0,19,0,19,19
t3900-i18n-commit.sh,t3900-i18n-commit.sh,PASS,PASS,3467,3344,-123,1.037,38,0,38,0,38,38
t3511-cherry-pick-x.sh,t3511-cherry-pick-x.sh,PASS,FAIL,3264,3331,67,0.980,22,0,14,8,22,22
t0030-stripspace.sh,t0030-stripspace.sh,PASS,PASS,3558,3313,-245,1.074,30,0,30,0,30,30
t1512-rev-parse-disambiguation.sh,t1512-rev-parse-disambiguation.sh,PASS,PASS,3684,3311,-373,1.113,35,3,35,3,38,38
t7416-submodule-dash-url.sh,t7416-submodule-dash-url.sh,FAIL,PASS,3754,3298,-456,1.138,11,7,18,0,18,18
t7424-submodule-mixed-ref-formats.sh,t7424-submodule-mixed-ref-formats.sh,FAIL,FAIL,1962,3295,1333,0.595,1,6,3,4,7,7
t6006-rev-list-format.sh,t6006-rev-list-format.sh,PASS,FAIL,4141,3274,-867,1.265,80,0,77,3,80,80
t5705-session-id-in-capabilities.sh,t5705-session-id-in-capabilities.sh,PASS,PASS,4929,3264,-1665,1.510,17,0,17,0,17,17
t4213-log-tabexpand.sh,t4213-log-tabexpand.sh,PASS,FAIL,3848,3261,-587,1.180,9,0,8,1,9,9
t7422-submodule-output.sh,t7422-submodule-output.sh,FAIL,PASS,2002,3257,1255,0.615,0,18,18,0,18,18
t1050-large.sh,t1050-large.sh,PASS,PASS,2288,3215,927,0.712,29,0,29,0,29,29
t5328-commit-graph-64bit-time.sh,t5328-commit-graph-64bit-time.sh,FAIL,PASS,3492,3211,-281,1.088,6,1,7,0,7,7
t6501-freshen-objects.sh,t6501-freshen-objects.sh,PASS,PASS,4249,3183,-1066,1.335,42,0,42,0,42,42
t0020-crlf.sh,t0020-crlf.sh,PASS,FAIL,3707,3181,-526,1.165,36,0,35,1,36,36
t3403-rebase-skip.sh,t3403-rebase-skip.sh,PASS,FAIL,3106,3167,61,0.981,20,0,16,4,20,20
t3407-rebase-abort.sh,t3407-rebase-abort.sh,PASS,PASS,5028,3130,-1898,1.606,17,0,17,0,17,17
t1004-read-tree-m-u-wf.sh,t1004-read-tree-m-u-wf.sh,FAIL,FAIL,3288,3126,-162,1.052,16,1,14,3,17,17
t1507-rev-parse-upstream.sh,t1507-rev-parse-upstream.sh,PASS,PASS,3536,3103,-433,1.140,29,0,29,0,29,29
t2203-add-intent.sh,t2203-add-intent.sh,PASS,PASS,3400,3093,-307,1.099,19,0,19,0,19,19
t4209-log-pickaxe.sh,t4209-log-pickaxe.sh,PASS,FAIL,3727,3088,-639,1.207,48,0,45,3,48,48
t5534-push-signed.sh,t5534-push-signed.sh,PASS,FAIL,4959,3078,-1881,1.611,13,0,9,4,13,13
t3402-rebase-merge.sh,t3402-rebase-merge.sh,PASS,PASS,4191,3074,-1117,1.363,13,0,13,0,13,13
t5512-ls-remote.sh,t5512-ls-remote.sh,PASS,PASS,3383,3037,-346,1.114,40,0,40,0,40,40
t7110-reset-merge.sh,t7110-reset-merge.sh,PASS,PASS,3338,3037,-301,1.099,21,0,21,0,21,21
t4061-diff-indent.sh,t4061-diff-indent.sh,PASS,FAIL,3187,3028,-159,1.053,33,0,28,5,33,33
t0211-trace2-perf.sh,t0211-trace2-perf.sh,FAIL,PASS,3206,3026,-180,1.059,15,2,17,0,17,17
t1417-reflog-updateref.sh,t1417-reflog-updateref.sh,PASS,PASS,2650,3021,371,0.877,21,0,21,0,21,21
t7603-merge-reduce-heads.sh,t7603-merge-reduce-heads.sh,FAIL,FAIL,3076,3013,-63,1.021,9,4,11,2,13,13
t7060-wtstatus.sh,t7060-wtstatus.sh,PASS,FAIL,2710,2987,277,0.907,17,0,13,4,17,17
t1012-read-tree-df.sh,t1012-read-tree-df.sh,PASS,PASS,2998,2986,-12,1.004,5,0,5,0,5,5
t3424-rebase-empty.sh,t3424-rebase-empty.sh,PASS,PASS,2996,2969,-27,1.009,19,1,19,1,20,20
t2406-worktree-repair.sh,t2406-worktree-repair.sh,PASS,PASS,3403,2953,-450,1.152,24,0,24,0,24,24
t3203-branch-output.sh,t3203-branch-output.sh,PASS,PASS,2769,2946,177,0.940,41,0,41,0,41,41
t7519-status-fsmonitor.sh,t7519-status-fsmonitor.sh,PASS,FAIL,11781,2936,-8845,4.013,33,0,19,14,33,33
t3508-cherry-pick-many-commits.sh,t3508-cherry-pick-many-commits.sh,FAIL,FAIL,2375,2930,555,0.811,5,9,11,3,14,14
t6009-rev-list-parent.sh,t6009-rev-list-parent.sh,FAIL,FAIL,3097,2920,-177,1.061,9,6,9,6,15,15
t3451-history-reword.sh,t3451-history-reword.sh,PASS,FAIL,6835,2916,-3919,2.344,14,0,0,14,14,14
t7412-submodule-absorbgitdirs.sh,t7412-submodule-absorbgitdirs.sh,FAIL,PASS,1879,2909,1030,0.646,1,11,12,0,12,12
t0033-safe-directory.sh,t0033-safe-directory.sh,PASS,PASS,3019,2893,-126,1.044,22,0,22,0,22,22
t3901-i18n-patch.sh,t3901-i18n-patch.sh,PASS,PASS,3759,2879,-880,1.306,20,0,20,0,20,20
t1501-work-tree.sh,t1501-work-tree.sh,PASS,PASS,2902,2850,-52,1.018,39,0,39,0,39,39
t6007-rev-list-cherry-pick-file.sh,t6007-rev-list-cherry-pick-file.sh,PASS,PASS,2541,2849,308,0.892,23,0,23,0,23,23
t3434-rebase-i18n.sh,t3434-rebase-i18n.sh,PASS,PASS,2990,2844,-146,1.051,6,0,6,0,6,6
t2016-checkout-patch.sh,t2016-checkout-patch.sh,PASS,PASS,3465,2842,-623,1.219,19,0,19,0,19,19
t4072-diff-max-depth.sh,t4072-diff-max-depth.sh,PASS,PASS,2847,2833,-14,1.005,50,26,76,0,76,76
t5606-clone-options.sh,t5606-clone-options.sh,FAIL,PASS,3695,2786,-909,1.326,20,1,21,0,21,21
t1401-symbolic-ref.sh,symbolic-ref,PASS,PASS,2759,2773,14,0.995,25,0,25,0,25,25
t6406-merge-attr.sh,t6406-merge-attr.sh,PASS,FAIL,4479,2773,-1706,1.615,13,0,4,9,13,13
t4001-diff-rename.sh,t4001-diff-rename.sh,PASS,PASS,3022,2755,-267,1.097,23,0,23,0,23,23
t6050-replace.sh,t6050-replace.sh,PASS,FAIL,8942,2753,-6189,3.248,37,0,6,14,37,20
t3416-rebase-onto-threedots.sh,t3416-rebase-onto-threedots.sh,PASS,PASS,3131,2732,-399,1.146,18,0,18,0,18,18
t3007-ls-files-recurse-submodules.sh,t3007-ls-files-recurse-submodules.sh,FAIL,PASS,2321,2726,405,0.851,7,17,24,0,24,24
t5403-post-checkout-hook.sh,t5403-post-checkout-hook.sh,PASS,PASS,2462,2712,250,0.908,14,0,14,0,14,14
t7816-grep-binary-pattern.sh,t7816-grep-binary-pattern.sh,FAIL,PASS,333,2701,2368,0.123,0,0,145,0,0,145
t4069-remerge-diff.sh,t4069-remerge-diff.sh,PASS,FAIL,3605,2697,-908,1.337,16,0,2,14,16,16
t4214-log-graph-octopus.sh,t4214-log-graph-octopus.sh,FAIL,PASS,1797,2672,875,0.673,0,17,17,0,17,17
t7002-mv-sparse-checkout.sh,t7002-mv-sparse-checkout.sh,PASS,PASS,3393,2666,-727,1.273,22,0,22,0,22,22
t5504-fetch-receive-strict.sh,t5504-fetch-receive-strict.sh,PASS,FAIL,7191,2658,-4533,2.705,29,0,7,22,29,29
t5810-proto-disable-local.sh,t5810-proto-disable-local.sh,PASS,PASS,3882,2652,-1230,1.464,54,0,54,0,54,54
t4068-diff-symmetric-merge-base.sh,t4068-diff-symmetric-merge-base.sh,PASS,PASS,2436,2649,213,0.920,36,0,36,0,36,36
t3401-rebase-and-am-rename.sh,t3401-rebase-and-am-rename.sh,PASS,FAIL,3110,2635,-475,1.180,8,2,7,3,10,10
t6421-merge-partial-clone.sh,t6421-merge-partial-clone.sh,PASS,FAIL,3288,2598,-690,1.266,3,0,0,3,3,3
t2071-restore-patch.sh,t2071-restore-patch.sh,PASS,PASS,2825,2585,-240,1.093,15,0,15,0,15,15
t2403-worktree-move.sh,t2403-worktree-move.sh,FAIL,FAIL,3439,2581,-858,1.332,30,3,27,6,33,33
t5607-clone-bundle.sh,t5607-clone-bundle.sh,PASS,FAIL,3529,2546,-983,1.386,16,0,8,8,16,16
t6436-merge-overwrite.sh,t6436-merge-overwrite.sh,PASS,FAIL,3619,2544,-1075,1.423,18,0,11,7,18,18
t5506-remote-groups.sh,t5506-remote-groups.sh,PASS,FAIL,3910,2526,-1384,1.548,9,0,7,2,9,9
t7401-submodule-summary.sh,t7401-submodule-summary.sh,FAIL,PASS,2629,2514,-115,1.046,4,21,25,0,25,25
t8003-blame-corner-cases.sh,t8003-blame-corner-cases.sh,PASS,PASS,2781,2493,-288,1.116,30,0,30,0,30,30
t4201-shortlog.sh,t4201-shortlog.sh,PASS,FAIL,2036,2491,455,0.817,32,0,28,4,32,32
t4027-diff-submodule.sh,t4027-diff-submodule.sh,PASS,FAIL,3219,2485,-734,1.295,20,0,18,2,20,20
t2070-restore.sh,t2070-restore.sh,PASS,PASS,2613,2479,-134,1.054,15,0,15,0,15,15
t4103-apply-binary.sh,t4103-apply-binary.sh,PASS,PASS,2854,2469,-385,1.156,24,0,24,0,24,24
t6135-pathspec-with-attrs.sh,t6135-pathspec-with-attrs.sh,PASS,FAIL,2549,2467,-82,1.033,37,0,30,7,37,37
t5812-proto-disable-http.sh,t5812-proto-disable-http.sh,FAIL,FAIL,1879,2464,585,0.763,11,18,28,1,29,29
t4017-diff-retval.sh,t4017-diff-retval.sh,PASS,PASS,2306,2417,111,0.954,38,0,38,0,38,38
t5150-request-pull.sh,t5150-request-pull.sh,FAIL,FAIL,4021,2395,-1626,1.679,2,8,2,8,10,10
t5701-git-serve.sh,t5701-git-serve.sh,PASS,PASS,2692,2383,-309,1.130,25,0,25,0,25,25
t3204-branch-name-interpretation.sh,t3204-branch-name-interpretation.sh,PASS,PASS,2822,2374,-448,1.189,16,0,16,0,16,16
t5814-proto-disable-ext.sh,t5814-proto-disable-ext.sh,PASS,PASS,2871,2357,-514,1.218,27,0,27,0,27,27
t6021-rev-list-exclude-hidden.sh,t6021-rev-list-exclude-hidden.sh,PASS,FAIL,2777,2352,-425,1.181,62,0,55,7,62,62
t3502-cherry-pick-merge.sh,t3502-cherry-pick-merge.sh,PASS,PASS,1727,2336,609,0.739,12,0,12,0,12,12
t6016-rev-list-graph-simplify-history.sh,t6016-rev-list-graph-simplify-history.sh,FAIL,FAIL,1886,2333,447,0.808,0,12,7,5,12,12
t8006-blame-textconv.sh,t8006-blame-textconv.sh,PASS,PASS,2057,2332,275,0.882,16,0,16,0,16,16
t4002-diff-basic.sh,t4002-diff-basic.sh,PASS,PASS,2555,2328,-227,1.098,63,0,63,0,63,63
t5409-colorize-remote-messages.sh,t5409-colorize-remote-messages.sh,PASS,FAIL,4591,2328,-2263,1.972,14,0,4,10,14,14
t3105-ls-tree-output.sh,t3105-ls-tree-output.sh,FAIL,PASS,2159,2326,167,0.928,5,55,60,0,60,60
t1402-check-ref-format.sh,t1402-check-ref-format.sh,PASS,FAIL,2661,2309,-352,1.152,99,0,97,2,99,99
t1508-at-combinations.sh,t1508-at-combinations.sh,PASS,PASS,1856,2288,432,0.811,35,0,35,0,35,35
t1301-shared-repo.sh,t1301-shared-repo.sh,PASS,FAIL,1953,2285,332,0.855,22,0,7,15,22,22
t3910-mac-os-precompose.sh,t3910-mac-os-precompose.sh,PASS,PASS,3072,2279,-793,1.348,28,1,29,0,29,29
t4030-diff-textconv.sh,t4030-diff-textconv.sh,PASS,PASS,3405,2263,-1142,1.505,19,0,19,0,19,19
t6113-rev-list-bitmap-filters.sh,t6113-rev-list-bitmap-filters.sh,PASS,PASS,2135,2260,125,0.945,14,0,14,0,14,14
t1305-config-include.sh,t1305-config-include.sh,PASS,PASS,2513,2253,-260,1.115,37,0,37,0,37,37
t3920-crlf-messages.sh,t3920-crlf-messages.sh,PASS,FAIL,2126,2248,122,0.946,18,0,12,6,18,18
t4051-diff-function-context.sh,t4051-diff-function-context.sh,PASS,FAIL,1790,2226,436,0.804,42,0,38,4,42,42
t2082-parallel-checkout-attributes.sh,t2082-parallel-checkout-attributes.sh,PASS,FAIL,2808,2220,-588,1.265,5,0,0,5,5,5
t3438-rebase-broken-files.sh,t3438-rebase-broken-files.sh,PASS,FAIL,2447,2217,-230,1.104,9,0,1,8,9,9
t6418-merge-text-auto.sh,t6418-merge-text-auto.sh,PASS,FAIL,2959,2217,-742,1.335,11,0,5,6,11,11
t3201-branch-contains.sh,t3201-branch-contains.sh,PASS,PASS,1680,2209,529,0.761,24,0,24,0,24,24
t7113-post-index-change-hook.sh,t7113-post-index-change-hook.sh,PASS,PASS,1944,2205,261,0.882,4,0,4,0,4,4
t7408-submodule-reference.sh,t7408-submodule-reference.sh,FAIL,FAIL,1486,2175,689,0.683,4,12,14,2,16,16
t7611-merge-abort.sh,t7611-merge-abort.sh,PASS,PASS,2920,2159,-761,1.352,19,0,19,0,19,19
t5605-clone-local.sh,t5605-clone-local.sh,PASS,PASS,3035,2151,-884,1.411,23,0,23,0,23,23
t6415-merge-dir-to-symlink.sh,t6415-merge-dir-to-symlink.sh,PASS,FAIL,2791,2126,-665,1.313,24,0,10,14,24,24
t4135-apply-weird-filenames.sh,t4135-apply-weird-filenames.sh,PASS,PASS,2453,2122,-331,1.156,19,1,19,1,20,20
t0014-alias.sh,t0014-alias.sh,PASS,FAIL,2545,2110,-435,1.206,23,0,21,2,23,23
t7701-repack-unpack-unreachable.sh,t7701-repack-unpack-unreachable.sh,PASS,FAIL,3536,2108,-1428,1.677,9,0,1,8,9,9
t1506-rev-parse-diagnosis.sh,t1506-rev-parse-diagnosis.sh,PASS,PASS,1950,2095,145,0.931,30,0,30,0,30,30
t7402-submodule-rebase.sh,t7402-submodule-rebase.sh,PASS,PASS,2474,2088,-386,1.185,6,0,6,0,6,6
t7509-commit-authorship.sh,t7509-commit-authorship.sh,PASS,PASS,1772,2044,272,0.867,12,0,12,0,12,12
t2017-checkout-orphan.sh,t2017-checkout-orphan.sh,PASS,PASS,2643,2041,-602,1.295,13,0,13,0,13,13
t7105-reset-patch.sh,t7105-reset-patch.sh,PASS,FAIL,2581,2039,-542,1.266,13,0,6,7,13,13
t1020-subdirectory.sh,t1020-subdirectory.sh,PASS,PASS,2104,2035,-69,1.034,15,0,15,0,15,15
t5316-pack-delta-depth.sh,t5316-pack-delta-depth.sh,PASS,FAIL,2191,2032,-159,1.078,5,0,0,5,5,5
t1403-show-ref.sh,t1403-show-ref.sh,PASS,FAIL,2664,2021,-643,1.318,12,0,10,2,12,12
t9305-fast-import-signatures.sh,t9305-fast-import-signatures.sh,PASS,FAIL,2685,2017,-668,1.331,26,0,21,5,26,26
t0040-parse-options.sh,t0040-parse-options.sh,PASS,PASS,2384,2006,-378,1.188,94,0,94,0,94,94
t4019-diff-wserror.sh,t4019-diff-wserror.sh,PASS,FAIL,1671,2005,334,0.833,21,0,19,2,21,21
t3602-rm-sparse-checkout.sh,t3602-rm-sparse-checkout.sh,PASS,FAIL,1968,1984,16,0.992,13,0,4,9,13,13
t8013-blame-ignore-revs.sh,t8013-blame-ignore-revs.sh,PASS,PASS,2073,1984,-89,1.045,19,0,19,0,19,19
t5582-fetch-negative-refspec.sh,t5582-fetch-negative-refspec.sh,PASS,FAIL,3201,1981,-1220,1.616,16,0,10,6,16,16
t5900-repo-selection.sh,t5900-repo-selection.sh,PASS,PASS,2678,1981,-697,1.352,8,0,8,0,8,8
t7061-wtstatus-ignore.sh,t7061-wtstatus-ignore.sh,PASS,PASS,1764,1973,209,0.894,25,0,25,0,25,25
t2081-parallel-checkout-collisions.sh,t2081-parallel-checkout-collisions.sh,PASS,FAIL,2181,1966,-215,1.109,6,0,1,5,6,6
t1413-reflog-detach.sh,t1413-reflog-detach.sh,PASS,PASS,1541,1960,419,0.786,7,0,7,0,7,7
t4000-diff-format.sh,t4000-diff-format.sh,PASS,FAIL,2310,1948,-362,1.186,41,0,35,6,41,41
t2060-switch.sh,t2060-switch.sh,PASS,FAIL,2341,1938,-403,1.208,16,0,10,6,16,16
t5811-proto-disable-git.sh,t5811-proto-disable-git.sh,FAIL,PASS,470,1938,1468,0.243,0,0,26,0,0,26
t0061-run-command.sh,t0061-run-command.sh,PASS,PASS,1799,1904,105,0.945,24,0,24,0,24,24
t1451-fsck-buffer.sh,t1451-fsck-buffer.sh,PASS,PASS,2048,1889,-159,1.084,72,0,72,0,72,72
t5351-unpack-large-objects.sh,t5351-unpack-large-objects.sh,PASS,FAIL,2187,1888,-299,1.158,7,0,4,3,7,7
t3506-cherry-pick-ff.sh,t3506-cherry-pick-ff.sh,PASS,PASS,1673,1881,208,0.889,11,0,11,0,11,11
t4114-apply-typechange.sh,t4114-apply-typechange.sh,PASS,PASS,1541,1877,336,0.821,12,0,12,0,12,12
t7007-show.sh,t7007-show.sh,PASS,FAIL,2637,1876,-761,1.406,18,0,10,8,18,18
t4057-diff-combined-paths.sh,t4057-diff-combined-paths.sh,PASS,PASS,1998,1874,-124,1.066,4,0,4,0,4,4
t1517-outside-repo.sh,t1517-outside-repo.sh,FAIL,PASS,6596,1868,-4728,3.531,284,26,84,0,310,84
t4208-log-magic-pathspec.sh,t4208-log-magic-pathspec.sh,FAIL,FAIL,1828,1868,40,0.979,20,1,12,9,21,21
t5614-clone-submodules-shallow.sh,t5614-clone-submodules-shallow.sh,FAIL,FAIL,2102,1841,-261,1.142,0,9,4,5,9,9
t4059-diff-submodule-not-initialized.sh,t4059-diff-submodule-not-initialized.sh,FAIL,FAIL,984,1834,850,0.537,1,7,1,7,8,8
t1060-object-corruption.sh,t1060-object-corruption.sh,PASS,FAIL,2411,1823,-588,1.323,16,1,15,2,17,17
t2004-checkout-cache-temp.sh,t2004-checkout-cache-temp.sh,PASS,PASS,1405,1808,403,0.777,23,0,23,0,23,23
t5611-clone-config.sh,t5611-clone-config.sh,PASS,PASS,2250,1804,-446,1.247,13,0,13,0,13,13
t7426-submodule-get-default-remote.sh,t7426-submodule-get-default-remote.sh,FAIL,FAIL,1374,1799,425,0.764,5,10,4,11,15,15
t7419-submodule-set-branch.sh,t7419-submodule-set-branch.sh,FAIL,PASS,786,1796,1010,0.438,2,7,9,0,9,9
t5323-pack-redundant.sh,t5323-pack-redundant.sh,PASS,PASS,2624,1793,-831,1.463,18,0,18,0,18,18
t3907-stash-show-config.sh,t3907-stash-show-config.sh,PASS,FAIL,2162,1786,-376,1.211,10,0,5,5,10,10
