script,command,git_result,sley_result,git_ms,sley_ms,delta_ms,speedup_vs_git,git_ok,git_notok,sley_ok,sley_notok,git_total,sley_total
t1510-repo-setup.sh,t1510-repo-setup.sh,PASS,PASS,17679,21427,3748,0.825,109,0,109,0,109,109
t0450-txt-doc-vs-help.sh,t0450-txt-doc-vs-help.sh,PASS,PASS,22891,21293,-1598,1.075,845,51,794,0,896,794
t0000-basic.sh,t0000-basic.sh,PASS,FAIL,20151,20445,294,0.986,92,0,88,4,92,92
t3903-stash.sh,t3903-stash.sh,FAIL,PASS,24905,20021,-4884,1.244,142,3,143,2,145,145
t9902-completion.sh,t9902-completion.sh,FAIL,FAIL,17529,18914,1385,0.927,257,6,258,5,263,263
t6300-for-each-ref.sh,t6300-for-each-ref.sh,PASS,FAIL,19201,18809,-392,1.021,429,0,427,2,429,429
t1461-refs-list.sh,t1461-refs-list.sh,PASS,FAIL,16196,18702,2506,0.866,428,0,426,2,428,428
t5318-commit-graph.sh,t5318-commit-graph.sh,FAIL,FAIL,19441,18491,-950,1.051,83,27,98,12,110,110
t5520-pull.sh,t5520-pull.sh,PASS,FAIL,28952,18204,-10748,1.590,80,0,75,5,80,80
t3701-add-interactive.sh,t3701-add-interactive.sh,PASS,PASS,18597,17707,-890,1.050,130,0,130,0,130,130
t1423-ref-backend.sh,t1423-ref-backend.sh,PASS,PASS,13598,17697,4099,0.768,36,0,36,0,36,36
t4150-am.sh,t4150-am.sh,PASS,PASS,17867,17568,-299,1.017,87,0,87,0,87,87
t7400-submodule-basic.sh,t7400-submodule-basic.sh,FAIL,FAIL,9967,17568,7601,0.567,23,101,117,7,124,124
t5302-pack-index.sh,t5302-pack-index.sh,PASS,FAIL,20207,17553,-2654,1.151,36,0,31,5,36,36
t7900-maintenance.sh,t7900-maintenance.sh,PASS,FAIL,24063,17473,-6590,1.377,75,0,72,3,75,75
t6041-bisect-submodule.sh,t6041-bisect-submodule.sh,FAIL,FAIL,4415,17194,12779,0.257,0,14,9,5,14,14
t0410-partial-clone.sh,t0410-partial-clone.sh,FAIL,FAIL,17409,16738,-671,1.040,36,3,38,1,39,39
t4013-diff-various.sh,t4013-diff-various.sh,PASS,PASS,14420,16115,1695,0.895,230,0,230,0,230,230
t3303-notes-subtrees.sh,t3303-notes-subtrees.sh,PASS,PASS,13705,15937,2232,0.860,23,0,23,0,23,23
t3430-rebase-merges.sh,t3430-rebase-merges.sh,FAIL,FAIL,14059,15799,1740,0.890,33,1,33,1,34,34
t7513-interpret-trailers.sh,t7513-interpret-trailers.sh,PASS,PASS,14587,15600,1013,0.935,99,0,99,0,99,99
t3301-notes.sh,t3301-notes.sh,PASS,PASS,15006,15475,469,0.970,153,0,153,0,153,153
t0008-ignores.sh,t0008-ignores.sh,PASS,PASS,14792,15338,546,0.964,398,0,398,0,398,398
t1450-fsck.sh,t1450-fsck.sh,PASS,PASS,21027,15329,-5698,1.372,96,0,96,0,96,96
t5505-remote.sh,t5505-remote.sh,PASS,FAIL,20457,15193,-5264,1.346,129,1,127,3,130,130
t7704-repack-cruft.sh,t7704-repack-cruft.sh,PASS,FAIL,16953,14990,-1963,1.131,26,0,15,11,26,26
t5533-push-cas.sh,t5533-push-cas.sh,PASS,PASS,22916,14892,-8024,1.539,23,0,23,0,23,23
t4202-log.sh,t4202-log.sh,FAIL,FAIL,12827,14781,1954,0.868,140,15,142,13,155,155
t5400-send-pack.sh,t5400-send-pack.sh,PASS,PASS,18557,14521,-4036,1.278,17,0,17,0,17,17
t7800-difftool.sh,t7800-difftool.sh,FAIL,FAIL,16644,14429,-2215,1.154,46,49,91,4,95,95
t3513-revert-submodule.sh,t3513-revert-submodule.sh,FAIL,FAIL,4817,14145,9328,0.341,0,14,9,5,14,14
t3415-rebase-autosquash.sh,t3415-rebase-autosquash.sh,PASS,FAIL,14345,13809,-536,1.039,28,0,24,4,28,28
t6422-merge-rename-corner-cases.sh,t6422-merge-rename-corner-cases.sh,PASS,FAIL,18402,13744,-4658,1.339,19,7,14,12,26,26
t7600-merge.sh,t7600-merge.sh,FAIL,PASS,17724,13739,-3985,1.290,79,4,83,0,83,83
t3512-cherry-pick-submodule.sh,t3512-cherry-pick-submodule.sh,FAIL,PASS,5696,13708,8012,0.416,0,15,13,2,15,15
t6416-recursive-corner-cases.sh,t6416-recursive-corner-cases.sh,PASS,FAIL,19369,13621,-5748,1.422,37,3,25,15,40,40
t5545-push-options.sh,t5545-push-options.sh,FAIL,FAIL,10236,12743,2507,0.803,9,4,10,3,13,13
t3420-rebase-autostash.sh,t3420-rebase-autostash.sh,FAIL,PASS,14943,12696,-2247,1.177,51,1,52,0,52,52
t1901-repo-structure.sh,t1901-repo-structure.sh,PASS,FAIL,2488,12606,10118,0.197,5,0,0,5,5,5
t4015-diff-whitespace.sh,t4015-diff-whitespace.sh,FAIL,FAIL,11162,12567,1405,0.888,135,1,130,6,136,136
t5300-pack-object.sh,t5300-pack-object.sh,PASS,FAIL,15743,12364,-3379,1.273,63,0,55,8,63,63
t3510-cherry-pick-sequence.sh,t3510-cherry-pick-sequence.sh,PASS,PASS,11580,12224,644,0.947,52,3,52,3,55,55
t3906-stash-submodule.sh,t3906-stash-submodule.sh,FAIL,FAIL,4996,12198,7202,0.410,0,16,5,11,16,16
t7810-grep.sh,t7810-grep.sh,PASS,FAIL,13823,12012,-1811,1.151,264,0,249,15,264,264
t4215-log-skewed-merges.sh,t4215-log-skewed-merges.sh,FAIL,FAIL,8615,11970,3355,0.720,6,9,9,6,15,15
t3600-rm.sh,t3600-rm.sh,FAIL,PASS,5201,11800,6599,0.441,53,29,81,1,82,82
t5329-pack-objects-cruft.sh,t5329-pack-objects-cruft.sh,PASS,FAIL,14488,11738,-2750,1.234,25,0,20,5,25,25
t1006-cat-file.sh,cat-file,PASS,PASS,12008,11706,-302,1.026,290,1,290,1,291,291
t7512-status-help.sh,t7512-status-help.sh,PASS,FAIL,11974,11574,-400,1.035,47,0,39,8,47,47
t0052-simple-ipc.sh,t0052-simple-ipc.sh,PASS,PASS,11592,11569,-23,1.002,9,0,9,0,9,9
