label,script,command,result,elapsed_ms,ok,notok,total,plan_total
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1601-index-bogus.sh,t1601-index-bogus.sh,PASS,554,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2009-checkout-statinfo.sh,t2009-checkout-statinfo.sh,PASS,1108,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2022-checkout-paths.sh,t2022-checkout-paths.sh,PASS,1333,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2072-restore-pathspec-file.sh,t2072-restore-pathspec-file.sh,PASS,1868,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2104-update-index-skip-worktree.sh,t2104-update-index-skip-worktree.sh,PASS,709,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2300-cd-to-toplevel.sh,t2300-cd-to-toplevel.sh,FAIL,582,0,5,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3004-ls-files-basic.sh,t3004-ls-files-basic.sh,PASS,826,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3012-ls-files-dedup.sh,t3012-ls-files-dedup.sh,PASS,1086,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3310-notes-merge-manual-resolve.sh,t3310-notes-merge-manual-resolve.sh,PASS,5738,22,0,22,22
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4007-rename-3.sh,t4007-rename-3.sh,PASS,968,13,0,13,13
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4048-diff-combined-binary.sh,t4048-diff-combined-binary.sh,PASS,2131,14,0,14,14
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,PASS,1800,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,1159,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5313-pack-bounds-checks.sh,t5313-pack-bounds-checks.sh,PASS,1496,9,0,9,9
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5325-reverse-index.sh,t5325-reverse-index.sh,PASS,2483,16,0,16,16
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5553-set-upstream.sh,t5553-set-upstream.sh,PASS,6426,21,0,21,21
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6011-rev-list-with-bad-commit.sh,t6011-rev-list-with-bad-commit.sh,PASS,1032,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6041-bisect-submodule.sh,t6041-bisect-submodule.sh,FAIL,4415,0,14,14,14
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6114-keep-packs.sh,t6114-keep-packs.sh,PASS,1094,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6301-for-each-ref-errors.sh,t6301-for-each-ref-errors.sh,PASS,869,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6434-merge-recursive-rename-options.sh,t6434-merge-recursive-rename-options.sh,PASS,4843,27,0,27,27
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7101-reset-empty-subdirs.sh,t7101-reset-empty-subdirs.sh,PASS,746,10,0,10,10
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7416-submodule-dash-url.sh,t7416-submodule-dash-url.sh,FAIL,3754,11,7,18,18
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7701-repack-unpack-unreachable.sh,t7701-repack-unpack-unreachable.sh,PASS,3536,9,0,9,9
git-baseline-v2.55.0-20260710T044412Z-wave-1,t8007-cat-file-textconv.sh,t8007-cat-file-textconv.sh,PASS,1376,15,0,15,15
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0017-env-helper.sh,t0017-env-helper.sh,PASS,948,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0081-find-pack.sh,t0081-find-pack.sh,PASS,1677,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4121-apply-diffs.sh,t4121-apply-diffs.sh,PASS,749,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4116-apply-reverse.sh,t4116-apply-reverse.sh,PASS,1281,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4123-apply-shrink.sh,t4123-apply-shrink.sh,PASS,627,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3050-subprojects-fetch.sh,t3050-subprojects-fetch.sh,PASS,1308,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5527-fetch-odd-refs.sh,t5527-fetch-odd-refs.sh,PASS,1166,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0029-core-unsetenvvars.sh,t0029-core-unsetenvvars.sh,PASS,477,0,0,0,0
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0100-previous.sh,t0100-previous.sh,PASS,1708,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1901-repo-structure.sh,t1901-repo-structure.sh,PASS,2488,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3321-notes-stripspace.sh,t3321-notes-stripspace.sh,PASS,4623,27,0,27,27
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3906-stash-submodule.sh,t3906-stash-submodule.sh,FAIL,4996,0,16,16,16
