repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,git,8.1739895,8.0695415,0.3039495775415955,7.792291,8.65625,1.0,
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,5.128046875,5.0675415,0.23917298188695252,4.867542,5.5265,1.5939771416383552,
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,0.55203125,0.5644795,0.03720984758194299,0.49875,0.592083,14.807113727710162,
lg,git,status_short,read,status --short,git,22.43335425,22.6167705,0.8083842345560595,21.458333,23.699084,1.0,
lg,git,status_short,read,status --short,sley_cli,27.121921625,27.201562000000003,0.816524210460226,25.979125,28.1835,0.8271299711050618,
lg,git,status_short,read,status --short,sley_harness,18.508135499999998,18.2970625,0.8307613209377804,17.547833,20.187375,1.2120807225557648,
lg,git,log_oneline_100,read,log --oneline -100,git,10.168317875,9.858062499999999,0.6276714930387978,9.605084,11.235042,1.0,
lg,git,log_oneline_100,read,log --oneline -100,sley_cli,27.63357825,27.3943545,0.9414527726251819,26.442833,28.990917,0.3679696412461531,
lg,git,log_oneline_100,read,log --oneline -100,sley_harness,1.8133647499999999,1.8540619999999999,0.12599562033856576,1.621667,1.954125,5.607431089084532,
lg,git,branch_list,read,branch --list,git,7.102463625,6.940188,0.41134953371900085,6.7295,7.861125,1.0,
lg,git,branch_list,read,branch --list,sley_cli,4.61186475,4.478021,0.27166589381115597,4.398167,5.163583,1.540041612235051,
lg,git,branch_list,read,branch --list,sley_harness,0.2772135,0.269563,0.025929318827480653,0.255792,0.324625,25.62091537749785,
lg,git,tag_list,read,tag --list,git,7.577614625,7.5187705000000005,0.4087632062817009,7.105,8.222334,1.0,
lg,git,tag_list,read,tag --list,sley_cli,5.65568225,5.6403755,0.22671370877055497,5.347625,6.095458,1.339823259165594,
lg,git,tag_list,read,tag --list,sley_harness,0.281062375,0.27906200000000003,0.006302552565372683,0.272833,0.292042,26.960615503942854,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,git,7.004505125,6.939166500000001,0.3994527817764975,6.463166,7.567167,1.0,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,4.31753125,4.3604375,0.1477366486969779,4.016708,4.460875,1.6223403420646925,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.12065125,0.1189375,0.004168916123269593,0.117084,0.1295,58.05580236425234,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,git,8.63396875,8.715854,0.3139419365978139,8.098125,9.003292,1.0,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,5.979260375,5.359021,1.2042073968511922,5.181917,7.979041,1.4439860799672901,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,0.974401125,0.9403539999999999,0.07823293289627821,0.917375,1.151959,8.86079513711563,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,git,9.364422,9.2978335,0.43861164379078815,8.924,10.084834,1.0,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,5.37658325,5.2941665,0.2123583039721512,5.151125,5.774625,1.7417050131233436,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,0.9392238749999999,0.939604,0.012397378910047297,0.919792,0.962125,9.970383259262867,
