label,script,command,result,elapsed_ms,ok,notok,total,plan_total
partial-sley-cb43e92d,t3701-add-interactive.sh,t3701-add-interactive.sh,PASS,10535,130,0,130,130
partial-sley-cb43e92d,t5319-multi-pack-index.sh,t5319-multi-pack-index.sh,PASS,11424,98,0,98,98
partial-sley-cb43e92d,t3700-add.sh,t3700-add.sh,PASS,2580,58,0,58,58
partial-sley-cb43e92d,t5900-repo-selection.sh,t5900-repo-selection.sh,PASS,1510,8,0,8,8
partial-sley-cb43e92d,t2105-update-index-gitfile.sh,t2105-update-index-gitfile.sh,PASS,672,4,0,4,4
partial-sley-cb43e92d,t6133-pathspec-rev-dwim.sh,t6133-pathspec-rev-dwim.sh,PASS,423,6,0,6,6
partial-sley-cb43e92d,t6301-for-each-ref-errors.sh,t6301-for-each-ref-errors.sh,PASS,456,6,0,6,6
partial-sley-cb43e92d,t3430-rebase-merges.sh,t3430-rebase-merges.sh,PASS,7394,34,0,34,34
