script,cell,oracle_status,sley_status,comparison
t3701-add-interactive.sh,10,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,11,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,12,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,13,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,14,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,15,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,16,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,17,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,18,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,19,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,20,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,21,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,22,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,23,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,24,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,25,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,26,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,27,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,28,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,29,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,30,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,31,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,32,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,33,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,34,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,35,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,36,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,37,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,38,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,39,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,40,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,41,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,42,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,43,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,44,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,45,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,46,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,47,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,48,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,49,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,50,SKIP,SKIP,ORACLE_SKIP
t3701-add-interactive.sh,51,SKIP,SKIP,ORACLE_SKIP
t3701-add-interactive.sh,52,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,53,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,54,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,55,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,56,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,57,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,58,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,59,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,60,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,61,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,62,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,63,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,64,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,65,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,66,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,67,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,68,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,69,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,70,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,71,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,72,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,73,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,74,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,75,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,76,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,77,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,78,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,79,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,80,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,81,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,82,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,83,PASS,PASS,MATCH_PASS
t3701-add-interactive.sh,84,PASS,PASS,MATCH_PASS
