target,script,cell,status,raw_result,directive,description
"sley","t3701-add-interactive.sh","30","PASS","ok","","patch does not affect mode"
"sley","t3701-add-interactive.sh","31","PASS","ok","","stage mode but not hunk"
"sley","t3701-add-interactive.sh","32","PASS","ok","","stage mode and hunk"
"sley","t3701-add-interactive.sh","33","PASS","ok","","different prompts for mode change/deleted"
"sley","t3701-add-interactive.sh","34","PASS","ok","","correct message when there is nothing to do"
"sley","t3701-add-interactive.sh","35","PASS","ok","","setup again"
"sley","t3701-add-interactive.sh","36","PASS","ok","","setup patch"
"sley","t3701-add-interactive.sh","37","PASS","ok","","setup expected"
"sley","t3701-add-interactive.sh","38","PASS","ok","","add first line works"
"sley","t3701-add-interactive.sh","39","PASS","ok","","setup expected"
"sley","t3701-add-interactive.sh","40","PASS","ok","","deleting a non-empty file"
"sley","t3701-add-interactive.sh","41","PASS","ok","","setup expected"
"sley","t3701-add-interactive.sh","42","PASS","ok","","deleting an empty file"
"sley","t3701-add-interactive.sh","43","PASS","ok","","adding an empty file"
"sley","t3701-add-interactive.sh","44","PASS","ok","","split hunk setup"
"sley","t3701-add-interactive.sh","45","PASS","ok","","goto hunk 1 with ""g 1"""
"sley","t3701-add-interactive.sh","46","PASS","ok","","goto hunk 1 with ""g1"""
"sley","t3701-add-interactive.sh","47","PASS","ok","","navigate to hunk via regex /pattern"
"sley","t3701-add-interactive.sh","48","PASS","ok","","navigate to hunk via regex / pattern"
"sley","t3701-add-interactive.sh","49","PASS","ok","","print again the hunk"
"sley","t3701-add-interactive.sh","50","SKIP","ok","SKIP",""
"sley","t3701-add-interactive.sh","51","SKIP","ok","SKIP",""
"sley","t3701-add-interactive.sh","52","PASS","ok","","split hunk ""add -p (edit)"""
"sley","t3701-add-interactive.sh","53","PASS","ok","","split hunk ""add -p (no, yes, edit)"""
"sley","t3701-add-interactive.sh","54","PASS","ok","","split hunk with incomplete line at end"
"sley","t3701-add-interactive.sh","55","PASS","ok","","edit, adding lines to the first hunk"
"sley","t3701-add-interactive.sh","56","PASS","ok","","patch mode ignores unmerged entries"
"sley","t3701-add-interactive.sh","57","PASS","ok","","index is refreshed after applying patch"
"sley","t3701-add-interactive.sh","58","PASS","ok","","diffs can be colorized"
"sley","t3701-add-interactive.sh","59","PASS","ok","","colors can be overridden"
"sley","t3701-add-interactive.sh","60","PASS","ok","","brackets appear without color"
"sley","t3701-add-interactive.sh","61","PASS","ok","","colors can be skipped with color.ui=false"
"sley","t3701-add-interactive.sh","62","PASS","ok","","colorized diffs respect diff.wsErrorHighlight"
"sley","t3701-add-interactive.sh","63","PASS","ok","","diff color respects color.diff"
"sley","t3701-add-interactive.sh","64","PASS","ok","","re-coloring diff without color.interactive"
"sley","t3701-add-interactive.sh","65","PASS","ok","","diffFilter filters diff"
"sley","t3701-add-interactive.sh","66","PASS","ok","","detect bogus diffFilter output"
"sley","t3701-add-interactive.sh","67","PASS","ok","","handle iffy colored hunk headers"
"sley","t3701-add-interactive.sh","68","PASS","ok","","handle very large filtered diff"
"sley","t3701-add-interactive.sh","69","PASS","ok","","diff.algorithm is passed to `git diff-files`"
"sley","t3701-add-interactive.sh","70","PASS","ok","","patch-mode via -i prompts for files"
"sley","t3701-add-interactive.sh","71","PASS","ok","","add -p handles globs"
"sley","t3701-add-interactive.sh","72","PASS","ok","","add -p handles relative paths"
"sley","t3701-add-interactive.sh","73","PASS","ok","","add -p does not expand argument lists"
"sley","t3701-add-interactive.sh","74","PASS","ok","","hunk-editing handles custom comment char"
"sley","t3701-add-interactive.sh","75","PASS","ok","","add -p works even with color.ui=always"
"sley","t3701-add-interactive.sh","76","PASS","ok","","setup different kinds of dirty submodules"
"sley","t3701-add-interactive.sh","77","PASS","ok","","status ignores dirty submodules (except HEAD)"
"sley","t3701-add-interactive.sh","78","PASS","ok","","handle submodules"
"sley","t3701-add-interactive.sh","79","PASS","ok","","set up pathological context"
"sley","t3701-add-interactive.sh","80","PASS","ok","","add -p works with pathological context lines"
"sley","t3701-add-interactive.sh","81","PASS","ok","","add -p patch editing works with pathological context lines"
"sley","t3701-add-interactive.sh","82","PASS","ok","","checkout -p works with pathological context lines"
"sley","t3701-add-interactive.sh","83","PASS","ok","","add -N followed by add -p patch editing"
"sley","t3701-add-interactive.sh","84","PASS","ok","","checkout -p patch editing of added file"
"sley","t3701-add-interactive.sh","85","PASS","ok","","show help from add--helper"
"sley","t3701-add-interactive.sh","86","PASS","ok","","reset -p with unmerged files"
"sley","t3701-add-interactive.sh","87","PASS","ok","","hunk splitting works with diff.suppressBlankEmpty"
"sley","t3701-add-interactive.sh","88","PASS","ok","","add -p respects diff.context"
"sley","t3701-add-interactive.sh","89","PASS","ok","","add -p respects diff.interHunkContext"
"sley","t3701-add-interactive.sh","90","PASS","ok","","add -p rejects negative diff.context"
"sley","t3701-add-interactive.sh","91","PASS","ok","","add accepts -U and --inter-hunk-context"
"sley","t3701-add-interactive.sh","92","PASS","ok","","checkout accepts -U and --inter-hunk-context"
"sley","t3701-add-interactive.sh","93","PASS","ok","","restore accepts -U and --inter-hunk-context"
"sley","t3701-add-interactive.sh","94","PASS","ok","","commit accepts -U and --inter-hunk-context"
"sley","t3701-add-interactive.sh","95","PASS","ok","","reset accepts -U and --inter-hunk-context"
"sley","t3701-add-interactive.sh","96","PASS","ok","","stash accepts -U and --inter-hunk-context"
"sley","t3701-add-interactive.sh","97","PASS","ok","","set up base for -p color tests"
"sley","t3701-add-interactive.sh","98","PASS","ok","","add rejects invalid context options"
"sley","t3701-add-interactive.sh","99","PASS","ok","","add falls back to color.ui"
"sley","t3701-add-interactive.sh","100","PASS","ok","","checkout rejects invalid context options"
"sley","t3701-add-interactive.sh","101","PASS","ok","","checkout falls back to color.ui"
"sley","t3701-add-interactive.sh","102","PASS","ok","","commit rejects invalid context options"
"sley","t3701-add-interactive.sh","103","PASS","ok","","commit falls back to color.ui"
"sley","t3701-add-interactive.sh","104","PASS","ok","","reset rejects invalid context options"
"sley","t3701-add-interactive.sh","105","PASS","ok","","reset falls back to color.ui"
"sley","t3701-add-interactive.sh","106","PASS","ok","","restore rejects invalid context options"
"sley","t3701-add-interactive.sh","107","PASS","ok","","restore falls back to color.ui"
"sley","t3701-add-interactive.sh","108","PASS","ok","","stash save rejects invalid context options"
"sley","t3701-add-interactive.sh","109","PASS","ok","","stash save falls back to color.ui"
"sley","t3701-add-interactive.sh","110","PASS","ok","","stash push rejects invalid context options"
"sley","t3701-add-interactive.sh","111","PASS","ok","","stash push falls back to color.ui"
"sley","t3701-add-interactive.sh","112","PASS","ok","","splitting previous hunk marks split hunks as undecided"
"sley","t3701-add-interactive.sh","113","PASS","ok","","splitting edited hunk"
"sley","t3701-add-interactive.sh","114","PASS","ok","","options J, K roll over"
"sley","t3701-add-interactive.sh","115","PASS","ok","","options y, n, a, d, j, k, e roll over to next undecided (1)"
"sley","t3701-add-interactive.sh","116","PASS","ok","","options y, n, a, d, j, k, e roll over to next undecided (2)"
"sley","t3701-add-interactive.sh","117","PASS","ok","","invalid option s is rejected"
"sley","t3701-add-interactive.sh","118","PASS","ok","","EOF quits"
"sley","t3701-add-interactive.sh","119","PASS","ok","","add rejects invalid --no-auto-advance options"
"sley","t3701-add-interactive.sh","120","PASS","ok","","checkout rejects invalid --no-auto-advance options"
"sley","t3701-add-interactive.sh","121","PASS","ok","","reset rejects invalid --no-auto-advance options"
