target,script,cell,status,raw_result,directive,description
"oracle","t3701-add-interactive.sh","83","PASS","ok","","add -N followed by add -p patch editing"
"oracle","t3701-add-interactive.sh","84","PASS","ok","","checkout -p patch editing of added file"
"oracle","t3701-add-interactive.sh","85","PASS","ok","","show help from add--helper"
"oracle","t3701-add-interactive.sh","86","PASS","ok","","reset -p with unmerged files"
"oracle","t3701-add-interactive.sh","87","PASS","ok","","hunk splitting works with diff.suppressBlankEmpty"
"oracle","t3701-add-interactive.sh","88","PASS","ok","","add -p respects diff.context"
"oracle","t3701-add-interactive.sh","89","PASS","ok","","add -p respects diff.interHunkContext"
"oracle","t3701-add-interactive.sh","90","PASS","ok","","add -p rejects negative diff.context"
"oracle","t3701-add-interactive.sh","91","PASS","ok","","add accepts -U and --inter-hunk-context"
"oracle","t3701-add-interactive.sh","92","PASS","ok","","checkout accepts -U and --inter-hunk-context"
"oracle","t3701-add-interactive.sh","93","PASS","ok","","restore accepts -U and --inter-hunk-context"
"oracle","t3701-add-interactive.sh","94","PASS","ok","","commit accepts -U and --inter-hunk-context"
"oracle","t3701-add-interactive.sh","95","PASS","ok","","reset accepts -U and --inter-hunk-context"
"oracle","t3701-add-interactive.sh","96","PASS","ok","","stash accepts -U and --inter-hunk-context"
"oracle","t3701-add-interactive.sh","97","PASS","ok","","set up base for -p color tests"
"oracle","t3701-add-interactive.sh","98","PASS","ok","","add rejects invalid context options"
"oracle","t3701-add-interactive.sh","99","PASS","ok","","add falls back to color.ui"
"oracle","t3701-add-interactive.sh","100","PASS","ok","","checkout rejects invalid context options"
"oracle","t3701-add-interactive.sh","101","PASS","ok","","checkout falls back to color.ui"
"oracle","t3701-add-interactive.sh","102","PASS","ok","","commit rejects invalid context options"
"oracle","t3701-add-interactive.sh","103","PASS","ok","","commit falls back to color.ui"
"oracle","t3701-add-interactive.sh","104","PASS","ok","","reset rejects invalid context options"
"oracle","t3701-add-interactive.sh","105","PASS","ok","","reset falls back to color.ui"
"oracle","t3701-add-interactive.sh","106","PASS","ok","","restore rejects invalid context options"
"oracle","t3701-add-interactive.sh","107","PASS","ok","","restore falls back to color.ui"
"oracle","t3701-add-interactive.sh","108","PASS","ok","","stash save rejects invalid context options"
"oracle","t3701-add-interactive.sh","109","PASS","ok","","stash save falls back to color.ui"
"oracle","t3701-add-interactive.sh","110","PASS","ok","","stash push rejects invalid context options"
"oracle","t3701-add-interactive.sh","111","PASS","ok","","stash push falls back to color.ui"
"oracle","t3701-add-interactive.sh","112","PASS","ok","","splitting previous hunk marks split hunks as undecided"
"oracle","t3701-add-interactive.sh","113","PASS","ok","","splitting edited hunk"
"oracle","t3701-add-interactive.sh","114","PASS","ok","","options J, K roll over"
"oracle","t3701-add-interactive.sh","115","PASS","ok","","options y, n, a, d, j, k, e roll over to next undecided (1)"
"oracle","t3701-add-interactive.sh","116","PASS","ok","","options y, n, a, d, j, k, e roll over to next undecided (2)"
"oracle","t3701-add-interactive.sh","117","PASS","ok","","invalid option s is rejected"
"oracle","t3701-add-interactive.sh","118","PASS","ok","","EOF quits"
"oracle","t3701-add-interactive.sh","119","PASS","ok","","add rejects invalid --no-auto-advance options"
"oracle","t3701-add-interactive.sh","120","PASS","ok","","checkout rejects invalid --no-auto-advance options"
"oracle","t3701-add-interactive.sh","121","PASS","ok","","reset rejects invalid --no-auto-advance options"
"oracle","t3701-add-interactive.sh","122","PASS","ok","","stash save rejects invalid --no-auto-advance options"
"oracle","t3701-add-interactive.sh","123","PASS","ok","","stash push rejects invalid --no-auto-advance options"
"oracle","t3701-add-interactive.sh","124","PASS","ok","","manual advance ("">"") moves to next file with --no-auto-advance"
"oracle","t3701-add-interactive.sh","125","PASS","ok","","select n on a hunk, go to another file, come back and change to y stages"
"oracle","t3701-add-interactive.sh","126","PASS","ok","","select y on a hunk, go to another file, come back and change to n does not stage"
"oracle","t3701-add-interactive.sh","127","PASS","ok","","deciding all hunks in a file does not auto advance"
"oracle","t3701-add-interactive.sh","128","PASS","ok","","HUNKS SUMMARY does not show in help text when there are undecided hunks"
"oracle","t3701-add-interactive.sh","129","PASS","ok","","help text shows HUNK SUMMARY when all hunks have been decided"
"oracle","t3701-add-interactive.sh","130","PASS","ok","","selective staging across multiple files with --no-advance"
"oracle","t5319-multi-pack-index.sh","1","PASS","ok","","setup"
"oracle","t5319-multi-pack-index.sh","2","PASS","ok","","don't write midx with no packs"
"oracle","t5319-multi-pack-index.sh","3","PASS","ok","","warn if a midx contains no oid"
"oracle","t5319-multi-pack-index.sh","4","PASS","ok","","create objects"
"oracle","t5319-multi-pack-index.sh","5","PASS","ok","","write midx with one v1 pack"
"oracle","t5319-multi-pack-index.sh","6","PASS","ok","","write midx with one v2 pack"
"oracle","t5319-multi-pack-index.sh","7","PASS","ok","","check normal git operations: one v2 pack"
"oracle","t5319-multi-pack-index.sh","8","PASS","ok","","corrupt idx reports errors"
"oracle","t5319-multi-pack-index.sh","9","PASS","ok","","add more objects"
"oracle","t5319-multi-pack-index.sh","10","PASS","ok","","write midx with two packs"
"oracle","t5319-multi-pack-index.sh","11","PASS","ok","","check normal git operations: two packs"
"oracle","t5319-multi-pack-index.sh","12","PASS","ok","","write midx with --stdin-packs"
"oracle","t5319-multi-pack-index.sh","13","PASS","ok","","check normal git operations: mixed mode (one pack + extra)"
"oracle","t5319-multi-pack-index.sh","14","PASS","ok","","write with no objects and preferred pack"
"oracle","t5319-multi-pack-index.sh","15","PASS","ok","","write progress off for redirected stderr"
"oracle","t5319-multi-pack-index.sh","16","PASS","ok","","write force progress on for stderr"
"oracle","t5319-multi-pack-index.sh","17","PASS","ok","","write with the --no-progress option"
"oracle","t5319-multi-pack-index.sh","18","PASS","ok","","add more packs"
"oracle","t5319-multi-pack-index.sh","19","PASS","ok","","check normal git operations: mixed mode (two packs + extra)"
"oracle","t5319-multi-pack-index.sh","20","PASS","ok","","write midx with twelve packs"
"oracle","t5319-multi-pack-index.sh","21","PASS","ok","","check normal git operations: twelve packs"
"oracle","t5319-multi-pack-index.sh","22","PASS","ok","","multi-pack-index *.rev cleanup with --object-dir"
"oracle","t5319-multi-pack-index.sh","23","PASS","ok","","warn on improper hash version"
"oracle","t5319-multi-pack-index.sh","24","PASS","ok","","midx picks objects from preferred pack"
"oracle","t5319-multi-pack-index.sh","25","PASS","ok","","preferred packs must be non-empty"
"oracle","t5319-multi-pack-index.sh","26","PASS","ok","","preferred pack from existing MIDX without bitmaps"
"oracle","t5319-multi-pack-index.sh","27","PASS","ok","","preferred pack cannot be determined without bitmap"
"oracle","t5319-multi-pack-index.sh","28","PASS","ok","","up-to-date multi-pack-index is retained"
"oracle","t5319-multi-pack-index.sh","29","PASS","ok","","verify multi-pack-index success"
"oracle","t5319-multi-pack-index.sh","30","PASS","ok","","verify progress off for redirected stderr"
"oracle","t5319-multi-pack-index.sh","31","PASS","ok","","verify force progress on for stderr"
"oracle","t5319-multi-pack-index.sh","32","PASS","ok","","verify with the --no-progress option"
"oracle","t5319-multi-pack-index.sh","33","PASS","ok","","verify bad signature"
"oracle","t5319-multi-pack-index.sh","34","PASS","ok","","verify bad version"
