repo_size,repo_name,command_name,command_kind,command,mode,mean_rss_bytes,median_rss_bytes,min_rss_bytes,max_rss_bytes,rss_ratio_vs_git
lg,git,log_oneline_100,read,log --oneline -100,sley_harness,9674752.0,9674752.0,9650176,9699328,0.7148910411622276
lg,git,branch_list,read,branch --list,git,7651328.0,7651328.0,7651328,7651328,1.0
lg,git,branch_list,read,branch --list,sley_cli,3604480.0,3604480.0,3588096,3620864,0.47109207708779444
lg,git,branch_list,read,branch --list,sley_harness,2293760.0,2293760.0,2293760,2293760,0.29978586723768735
lg,git,tag_list,read,tag --list,git,7675904.0,7675904.0,7667712,7684096,1.0
lg,git,tag_list,read,tag --list,sley_cli,4481024.0,4481024.0,4472832,4489216,0.583778014941302
lg,git,tag_list,read,tag --list,sley_harness,2318336.0,2318336.0,2310144,2326528,0.30202774813233724
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,git,7667712.0,7667712.0,7667712,7667712,1.0
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,3440640.0,3440640.0,3440640,3440640,0.44871794871794873
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,2244608.0,2244608.0,2244608,2244608,0.29273504273504275
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,git,8159232.0,8159232.0,8142848,8175616,1.0
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,4562944.0,4562944.0,4554752,4571136,0.5592369477911646
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,3121152.0,3121152.0,2981888,3260416,0.3825301204819277
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,git,8372224.0,8372224.0,8372224,8372224,1.0
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,4120576.0,4120576.0,4112384,4128768,0.49217221135029354
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,2949120.0,2949120.0,2949120,2949120,0.3522504892367906
